Area,CalendarYear,SpeciesGroup,Total
Rainbow Beach,2003,Shark,24
Rainbow Beach,2004,Shark,26
Rainbow Beach,2005,Shark,39
Rainbow Beach,2006,Shark,67
Rainbow Beach,2007,Shark,49
Rainbow Beach,2008,Shark,49
Rainbow Beach,2009,Shark,59
Rainbow Beach,2010,Shark,51
Rainbow Beach,2011,Shark,68
Rainbow Beach,2012,Shark,60
Rainbow Beach,2013,Shark,76
Rainbow Beach,2014,Shark,44
Rainbow Beach,2015,Shark,57
Rainbow Beach,2016,Shark,36
Rainbow Beach,2017,Shark,34
Rainbow Beach,2018,Shark,31
Rainbow Beach,2019,Shark,34
Rainbow Beach,2020,Shark,34
Rainbow Beach,2021,Shark,49
Rainbow Beach,2022,Shark,43
Rainbow Beach,2023,Shark,12
Sunshine Coast North,2001,Shark,76
Sunshine Coast North,2002,Shark,91
Sunshine Coast North,2003,Shark,56
Sunshine Coast North,2004,Shark,39
Sunshine Coast North,2005,Shark,53
Sunshine Coast North,2006,Shark,52
Sunshine Coast North,2007,Shark,39
Sunshine Coast North,2008,Shark,50
Sunshine Coast North,2009,Shark,50
Sunshine Coast North,2010,Shark,37
Sunshine Coast North,2011,Shark,44
Sunshine Coast North,2012,Shark,29
Sunshine Coast North,2013,Shark,28
Sunshine Coast North,2014,Shark,33
Sunshine Coast North,2015,Shark,48
Sunshine Coast North,2016,Shark,39
Sunshine Coast North,2017,Shark,39
Sunshine Coast North,2018,Shark,73
Sunshine Coast North,2019,Shark,56
Sunshine Coast North,2020,Shark,58
Sunshine Coast North,2021,Shark,63
Sunshine Coast North,2022,Shark,60
Sunshine Coast North,2023,Shark,43
Sunshine Coast South,2017,Shark,7
Sunshine Coast South,2018,Shark,18
Sunshine Coast South,2019,Shark,13
Sunshine Coast South,2020,Shark,9
Sunshine Coast South,2021,Shark,25
Sunshine Coast South,2022,Shark,24
Sunshine Coast South,2023,Shark,20
Sunshine Coast South & Bribie Island,2001,Shark,35
Sunshine Coast South & Bribie Island,2002,Shark,40
Sunshine Coast South & Bribie Island,2003,Shark,35
Sunshine Coast South & Bribie Island,2004,Shark,24
Sunshine Coast South & Bribie Island,2005,Shark,21
Sunshine Coast South & Bribie Island,2006,Shark,36
Sunshine Coast South & Bribie Island,2007,Shark,16
Sunshine Coast South & Bribie Island,2008,Shark,31
Sunshine Coast South & Bribie Island,2009,Shark,19
Sunshine Coast South & Bribie Island,2010,Shark,22
Sunshine Coast South & Bribie Island,2011,Shark,20
Sunshine Coast South & Bribie Island,2012,Shark,21
Sunshine Coast South & Bribie Island,2013,Shark,15
Sunshine Coast South & Bribie Island,2014,Shark,10
Sunshine Coast South & Bribie Island,2015,Shark,22
Sunshine Coast South & Bribie Island,2016,Shark,12
Sunshine Coast South & Bribie Island,2017,Shark,8
Townsville,2001,Shark,89
Townsville,2002,Shark,59
Townsville,2003,Shark,58
Townsville,2004,Shark,76
Townsville,2005,Shark,90
Townsville,2006,Shark,92
Townsville,2007,Shark,73
Townsville,2008,Shark,99
Townsville,2009,Shark,118
Townsville,2010,Shark,119
Townsville,2011,Shark,164
Townsville,2012,Shark,158
Townsville,2013,Shark,107
Townsville,2014,Shark,101
Townsville,2015,Shark,139
Townsville,2016,Shark,112
Townsville,2017,Shark,107
Townsville,2018,Shark,113
Townsville,2019,Shark,82
Townsville,2020,Shark,130
Townsville,2021,Shark,150
Townsville,2022,Shark,127
Townsville,2023,Shark,62
